ZdAId,ZdCId
47375,73889
45040,63425
473723,71637
464041,463536
42301,69000
59082,74164
47045,62806
47043,415545
48762,420110
51581,62700
52813,61001
52822,61032
52825,62656
52828,62740
54743,64375
426285,73969
46702,63880
53433,62529
53549,62258
53514,62244
487138,487139
45041,63656
53394,63803
43490,63545
483602,483603
48213,60474
483619,483620
483611,483651
48451,60143
48131,60128
477904,59959
427896,485302
44317,60944
44850,60135
57059,60322
42920,60169
462648,462649
59007,74110
422601,422602
43291,60611
43260,60357
58788,415614
42634,60108
42625,60330
422632,422633
47549,65353
48986,65262
478961,478962
55608,61988
47810,62633
51375,477880
55402,61378
55445,61245
43834,63005
42750,69190
426878,69209
423125,69444
419521,423126
43088,69528
45052,61298
45047,61178
55299,61098
55347,61368
55487,61100
55371,61128
55488,61096
55307,61061
55469,61139
55277,61157
55475,61104
55419,61228
55349,61077
44699,61434
55480,61089
55422,425132
55423,61192
55327,61058
55462,61203
55379,61135
55421,61204
44442,61299
56044,412042
55275,61130
44323,425131
55292,61336
55457,61243
55508,61259
55418,61194
55454,61193
55405,61187
55377,61158
55369,61304
55334,61075
55297,61113
55341,61226
47662,61561
55436,61164
55446,61221
55361,61303
55406,61181
425120,425121
43631,61278
55354,61143
43557,61381
55316,61087
55390,61277
55452,61250
55368,61313
55450,61237
425126,61216
473101,61145
55355,61147
55344,61291
55353,61319
55295,61124
480381,480407
55505,61276
55385,61280
55440,61177
55304,61069
55407,61185
55424,61229
55417,61190
55510,61409
48100,62866
47973,62674
492256,492261
42322,69172
473339,66535
46350,65474
42483,415789
54170,65914
57026,65189
486519,486686
49007,65775
48919,66467
47605,65923
54175,66078
47538,65848
486237,486386
479273,479274
57459,65908
48937,65636
48945,65670
48991,65438
52893,63415
51536,66900
461954,67329
56758,67019
47516,66732
488236,63278
52838,62931
51924,62038
51922,62133
49929,61666
42363,62465
473505,61858
52155,61999
45230,71599
473326,71033
44742,64615
422349,65179
44940,64750
53815,64642
50093,65019
53771,64458
44383,64138
473410,64251
42794,492208
55273,61775
54818,65758
42580,67435
54139,62247
43382,72487
57499,70007
420658,72035
50591,70899
43337,67413
55133,72843
44558,70113
45715,412568
58241,63002
53865,63190
56443,63157
56564,72844
56470,67506
56509,69698
56441,63170
56583,63112
56720,72868
56500,69708
58423,65280
44878,65741
46737,65926
54830,66260
46361,483637
43438,65737
46355,66038
54800,65740
54824,65760
54799,65803
426376,66075
57283,72726
54797,65695
54808,66003
44725,65934
54812,66177
45077,67483
55258,62089
55202,61710
55266,61633
45773,473253
55206,61689
55254,61917
55270,61779
43907,61760
58685,73968
55223,61753
55249,62201
55192,61665
55215,61655
55243,61904
45774,61536
55267,61793
58718,73688
53736,68865
53735,68889
53746,479184
53740,69014
53732,68804
43546,72484
53726,68845
473608,64021
58831,69785
59333,485796
55754,61604
478453,478454
55751,61930
55702,480538
462911,61769
44263,61540
55698,61759
55704,61764
59386,421136
42713,62192
59175,61601
59172,74240
43944,61478
55706,61688
55703,61765
47137,415634
47139,482874
47606,65966
48875,66000
422366,422369
48923,66468
58132,66004
49008,65651
48935,66330
58702,73985
419848,419849
47609,65713
48878,65864
49061,65977
424295,483251
419841,419842
52301,65871
59111,74189
422344,422345
49034,66409
57438,66132
52785,66730
424286,424287
491901,66332
49060,65781
49070,65471
49063,65243
49084,66023
49005,66102
42259,420435
48908,65990
422338,422339
419829,419830
44153,65900
54176,66247
58359,71908
491812,490783
45154,73643
42273,71356
51930,61598
43630,60455
48378,59755
473637,71510
462375,482368
49651,66998
480981,480982
58165,67244
491218,491219
426824,67308
58994,422267
44351,67277
422225,74100
53651,67330
50066,66930
49021,67044
51675,67055
51679,67154
49583,67240
49715,72783
49677,66631
49661,66637
49656,66906
49640,69442
49628,69445
49629,69447
49699,69429
49692,69249
49688,65561
49685,66694
49684,66737
49775,73472
59174,73522
47509,482863
47506,66267
46236,73513
46233,73489
46225,73495
45002,65377
45001,68875
58634,69287
44110,73493
44103,69291
46762,72756
46752,69335
44061,73509
44038,69323
58670,74176
44224,68910
57472,73724
414510,414511
44328,73580
44426,73506
44428,69320
43250,423625
44569,73459
487092,487093
43431,65535
44858,68867
42251,66376
44808,67053
43650,66431
43637,72746
42464,69256
42438,65407
43769,65416
423633,67064
43891,65700
43886,73502
42540,66699
485551,73500
43968,66211
42635,65876
42606,488095
42804,73572
487928,487929
42918,415523
42992,69312
419496,69440
51729,69425
49803,69345
49757,69047
49749,69116
49747,69105
49859,69403
487760,487761
46729,69055
58963,68981
462053,487099
56736,69222
42468,69202
54786,69313
54790,68842
52344,69037
463595,463596
425848,425849
43778,71882
58240,71892
42905,62226
43344,420240
57039,72117
47773,70722
45465,70775
463996,482821
47678,62713
47677,62718
47993,60893
47992,426056
47990,61003
47986,61015
47987,62675
47983,61024
47981,422931
47972,60980
57635,62856
43009,62585
56450,67454
56460,67524
56467,62902
56469,62748
56478,62672
56485,67516
56402,72804
56404,67407
56408,67498
56553,67406
56584,62992
56593,62895
56516,72809
56518,72814
56490,62565
56607,63216
